,gis_id,chronology,hierarchy,sb_name,su_name,x,z
102,159,12,3,topo,,1341.6365,142.00000500000002
103,160,12,3,topo,,1346.6301,142.00000500000002
104,161,12,3,topo,,1351.6239,142.00000500000002
105,162,12,3,topo,,1356.6175,141.520405
106,163,12,3,topo,,1361.6113,141.129405
107,164,12,3,topo,,1366.6051,141.00000500000002
108,165,12,3,topo,,1371.5987,141.00000500000002
109,166,12,3,topo,,1376.5925,141.00000500000002
110,167,12,3,topo,,1381.5863,141.00000500000002
111,171,12,3,topo,,1401.5611,141.00000500000002
112,172,12,3,topo,,1406.5549,141.00000500000002
113,173,12,3,topo,,1411.5485,141.00000500000002
114,174,12,3,topo,,1416.5423,141.00000500000002
115,175,12,3,topo,,1421.5359,141.00000500000002
116,187,12,3,topo,,1481.4607,141.00000500000002
117,188,12,3,topo,,1486.4543,141.00000500000002
118,189,12,3,topo,,1491.4481,141.00000500000002
119,190,12,3,topo,,1496.4417,141.00000500000002
120,191,12,3,topo,,1501.4355,141.00000500000002
121,192,12,3,topo,,1506.4293,141.00000500000002
122,207,12,3,topo,,1581.3351,141.00000500000002
123,208,12,3,topo,,1586.3287,141.00000500000002
124,209,12,3,topo,,1591.3225,141.00000500000002
125,210,12,3,topo,,1596.3163,141.00000500000002
126,211,12,3,topo,,1601.3099,141.00000500000002
127,221,12,3,topo,,1651.2471,141.00000500000002
128,222,12,3,topo,,1656.2409,141.00000500000002
129,223,12,3,topo,,1661.2347,141.00000500000002
130,224,12,3,topo,,1666.2283,140.634205
131,225,12,3,topo,,1671.2221,140.11920500000002
132,226,12,3,topo,,1676.2157,140.769805
133,227,12,3,topo,,1681.2095,140.784905
134,228,12,3,topo,,1686.2033,140.00000500000002
135,229,12,3,topo,,1691.1969,140.00000500000002
136,230,12,3,topo,,1696.1907,140.00000500000002
137,247,12,3,topo,,1781.0839,140.00000500000002
138,248,12,3,topo,,1786.0777,140.00000500000002
139,249,12,3,topo,,1791.0713,140.08720499999998
140,251,12,3,topo,,1801.0589,140.00000500000002
141,252,12,3,topo,,1806.0525,140.00000500000002
142,253,12,3,topo,,1811.0463,140.00000500000002
143,254,12,3,topo,,1816.0399,140.00000500000002
144,270,12,3,topo,,1895.9395,140.00000500000002
145,271,12,3,topo,,1900.9333,140.00000500000002
146,272,12,3,topo,,1905.9269,140.00000500000002
147,273,12,3,topo,,1910.9207,140.00000500000002
148,274,12,3,topo,,1915.9145,140.00000500000002
149,275,12,3,topo,,1920.9081,140.00000500000002
150,280,12,3,topo,,1945.8767,140.00000500000002
151,281,12,3,topo,,1950.8705,140.00000500000002
152,282,12,3,topo,,1955.8641,139.54710500000002
153,283,12,3,topo,,1960.8579,139.45980500000002
154,284,12,3,topo,,1965.8517,139.469805
155,287,12,3,topo,,1980.8327,139.106705
156,289,12,3,topo,,1990.8203,139.00000500000002
157,290,12,3,topo,,1995.8139,139.00000500000002
158,291,12,3,topo,,2000.8077,139.00000500000002
159,303,12,3,topo,,2060.7323,139.00000500000002
160,304,12,3,topo,,2065.7261,139.00000500000002
161,305,12,3,topo,,2070.7197,139.00000500000002
162,306,12,3,topo,,2075.7135,139.00000500000002
163,307,12,3,topo,,2080.7073,139.00000500000002
164,321,12,3,topo,,2150.6193,139.00000500000002
165,322,12,3,topo,,2155.6131,139.00000500000002
166,323,12,3,topo,,2160.6067,139.00000500000002
167,324,12,3,topo,,2165.6005,139.00000500000002
168,325,12,3,topo,,2170.5941,138.921805
169,326,12,3,topo,,2175.5879,138.321305
170,327,12,3,topo,,2180.5817,138.00000500000002
171,328,12,3,topo,,2185.5753,138.00000500000002
172,329,12,3,topo,,2190.5691,138.00000500000002
173,330,12,3,topo,,2195.5629,138.008005
174,345,12,3,topo,,2270.4687,138.00000500000002
175,346,12,3,topo,,2275.4623,138.00000500000002
176,347,12,3,topo,,2280.4561,138.00000500000002
177,348,12,3,topo,,2285.4497,138.00000500000002
178,483,12,3,topo,,6393.6317,123.00000500000002
179,484,12,3,topo,,6395.0395,123.00000500000002
180,485,12,3,topo,,6400.0319,123.00000500000002
181,486,12,3,topo,,6405.0243,123.00000500000002
182,487,12,3,topo,,6410.0223,123.00000500000002
183,492,12,3,topo,,6435.0123,123.00000500000002
184,493,12,3,topo,,6440.0103,122.462905
185,504,12,3,topo,,6494.9883,122.00000500000002
186,505,12,3,topo,,6499.9863,122.00000500000002
187,506,12,3,topo,,6504.9843,122.00000500000002
188,507,12,3,topo,,6509.9823,121.829405
189,510,12,3,topo,,6524.9763,121.970805
190,511,12,3,topo,,6529.9743,122.00000500000002
191,512,12,3,topo,,6534.9723,121.50350499999999
192,513,12,3,topo,,6539.9703,121.00000500000002
193,514,12,3,topo,,6544.9683,121.00000500000002
194,515,12,3,topo,,6549.9663,121.00000500000002
195,539,12,3,topo,,6669.9183,121.00000500000002
196,540,12,3,topo,,6674.9163,121.00000500000002
197,541,12,3,topo,,6679.9143,121.00000500000002
198,542,12,3,topo,,6684.9123,121.00000500000002
199,543,12,3,topo,,6689.9103,121.00000500000002
200,544,12,3,topo,,6694.8993,121.00000500000002
201,545,12,3,topo,,6699.8883,121.00000500000002
202,552,12,3,topo,,6734.8113,121.00000500000002
203,553,12,3,topo,,6739.8003,121.00000500000002
204,554,12,3,topo,,6744.7893,120.875405
205,557,12,3,topo,,6759.7565,121.00000500000002
206,558,12,3,topo,,6764.7455,121.00000500000002
207,559,12,3,topo,,6769.7345,121.00000500000002
208,560,12,3,topo,,6774.7235,121.00000500000002
209,561,12,3,topo,,6779.7125,121.00000500000002
210,562,12,3,topo,,6784.7015,121.00000500000002
211,565,12,3,topo,,6799.6685,121.197405
212,569,12,3,topo,,6819.6245,121.01030499999999
213,570,12,3,topo,,6824.6135,121.012305
